"Context","Source/Translation"
"dropdownBuildingPanelPreferLocal1","向所有区域提供服务"
"dropdownBuildingPanelPreferLocal2","首选区内"
"dropdownBuildingPanelPreferLocal3","仅限本区域"
"dropdownBuildingPanelPreferLocal4","所有区域，除以下："
"tabTransferIssuesOutside","外层"
"GROUP_BUILDING_PANEL","建筑物面板"
"keyOpenBuildingPanel","打开建筑物面板"
"GROUP_LOCALISATION","本地风格"
"dropdownLocalization","语言"
"tabBuildingPanelVehicles","车辆"
"txtBuildingPanelTransferManagerWarning","警告：设置前需要开启 Custom Transfer Manager"
"tabTransferIssuesGoods","货物"
"chkShowIssuesWithVehicles","显示路线上车辆的问题"
"GROUP_BUILDINGPANEL_DISTRICT","区域限制"
"dropdownBuildingPanelOutgoingPreferLocalLabel","出口"
"dropdownBuildingPanelIncomingPreferLocalLabel","进口"
"chkAllowImport","允许进口"
"chkAllowExport","允许出口"
"GROUP_BUILDINGPANEL_APPLYTOALL","应用于全部同类建筑"
"tabExperimental","实验性的"
"chkDistrictAllowServices","允许服务（垃圾、火灾、警察......）"
"GROUP_DISTANCE_LIMITS","距离限制"
"tabDistanceRestrictions","距离"
"sliderDeathcareDistanceLimits","死亡距离限制 (km)"
"sliderHealthcareDistanceLimits","死亡距离限制 (km)"
"sliderGarbageDistanceLimits","死亡距离限制 (km)"
"sliderPoliceDistanceLimits","死亡距离限制 (km)"
"sliderFireDistanceLimits","死亡距离限制 (km)"
"sliderMailDistanceLimits","死亡距离限制 (km)"
"txtDistanceLimits","允许的最大匹配距离，0=无限制进出口不受影响。"
"tabVehicleAI","车辆"
"GROUP_VEHICLE_AI","启用/关闭"
"optionFireTruckAI","消防车"
"optionFireCopterAI","消防直升机"
"optionGarbageTruckAI","垃圾车"
"optionPoliceCarAI","警车"
"optionPoliceCopterAI","警用直升机"
"txtVehicleAIDescription","车辆AI增强了车辆寻找附近待解决问题的能力。"
"tabImportExport","进口/出口"
"GROUP_IMPORT_RESTRICTIONS","允许进口"
"txtImportRestrictions","在停止进口以下资源之前请确保城市能够自给自足"
"sliderWarehouseReservePercent","预留仓库货运卡车供本地运输使用 (%)"
"sliderWarehouseFirstPercent","预留仓库货运卡车供本地运输使用 (%)"
"GROUP_DUMMY_TRAFFIC","虚拟流量"
"optionDummyTraffic","虚拟流量"
"txtDummyTraffic","游戏增加了虚拟的流量以使城市更有活力。此选项阻止了虚拟的流量转移以减少城市内的流量。"
"optionWarehouseOverride","覆盖全局设置"
"listConnectionName","名称"
"listConnectionType","类型"
"listConnectionGuest","车辆"
"listConnectionOwn","车辆"
"listConnectionMultiplier","增加指数"
"listConnectionImport","导入"
"listConnectionExport","导出"
"titleOutsideConnectionPanel","外部连接"
"GROUP_BUILDINGPANEL_OUTSIDE_DISTANCE_MULTIPLIER","外部距离乘数"
"sliderOutsideDistanceMultiplier","增加指数"
"sliderOutsideDistanceMultiplierTooltip","0 = 使用全局设置\r\n1 = 距离不变\r\n10 = 10x 更远"
"OutsideMultiplierDescription1","这些乘数应用于匹配算法中计算的距离，以使连接看起来更远，因此不太可能被选为匹配。"
"OutsideMultiplierDescription2","1 = 距离不变"
"OutsideMultiplierDescription3","10 = 10 倍更远"
"sliderShipMultiplier","船舶乘数"
"sliderPlaneMultiplier","平面乘数"
"sliderTrainMultiplier","火车乘数"
"sliderRoadMultiplier","道路乘数"
"GROUP_OUTSIDE_CONNECTIONS_PANEL","外部连接面板"
"keyOpenOutsidePanel","打开外部连接面板"
"optionNewWarehouseTransfer","改进的仓库间转移"
"txtNewInterWarehouseMatching","此选项允许以较低优先级进行仓库间转移，但会检查存储级别以确保仓库不会漫无目的地来回发送货物而没有任何好处。"
"txtDetectedDistricts","检测到的地区"
"btnDistricts","Districts"
"btnDistrict","区"
"btnPark","园区/产业"
"btnMap","地图"
"txtNone","无"
"txtVehiclesNone","None"
"txtStatusNone","None"
"GROUP_BUILDINGPANEL_DISTANCE_RESTRICTIONS","距离限制"
"sliderDistanceRestriction","最大匹配距离（公里）"
"sliderDistanceRestrictionTooltip","0 = 使用全局设置，如果有限制或没有限制。\r\n1+ = 最大匹配距离"
"titleDistrictPanel","选择地区"
"txtAllowedDistricts","允许的地区"
"txtBlockedDistricts","被屏蔽的地区"
"txtCurrentDistrict","所选区域"
"txtCurrentPark","所选公园"
"txtLoad","Load"
"GROUP_IMPROVED_SERVICES_MATCHING","改进的服务匹配"
"tabMatches","匹配"
"titleTransferStatsPanel","Transfer Manager Statistics"
"sliderOutsideCargoCapacity","Cargo Capacity"
"sliderOutsideResidentCapacity","Resident Capacity"
"sliderOutsideTouristFactor0","Tourist Factor 0"
"sliderOutsideTouristFactor1","Tourist Factor 1"
"sliderOutsideTouristFactor2","Tourist Factor 2"
"sliderOutsideDummyTrafficFactor","Dummy Traffic Factor"
"btnOutsideReset","Reset"
"GROUP_OUTSIDE_SETTINGS","Outside Connection Parameters"
"GROUP_BALANCED_MATCH_MODE","Balanced Match Mode"
"dropdownBalancedTitle","Match First When Equal"
"dropdownBalancedModeIncomingFirst","Match Incoming First (Vanilla)"
"dropdownBalancedModeLeastFirst","Match Least Offers First"
"dropdownBalancedModePassiveFirst","Match Passive First"
"txtBalancedMatch","Choose which offer to match first when incoming and outging offers have the same priority."
"GROUP_PATH_DISTANCE","Match Distance Algorithm"
"optionPathDistance","Use Path Distance (Where available)"
"txtPathDistance","Use path distance instead of line of sight distance (where available). This will result in better matches where your network or geography is complex but is slower so please ensure your computer is fast enough for this option.\r\nCurrently restricted to main services."
"optionHighlightMatches","Highlight Matches"
"listBuildingPanelOffersPark","Park"

