"Context","Source/Translation"
"CallAgainDeathcareRate","Deathcare Callback Rate"
"GROUP_TRANSFERISSUE_PANEL","Transfer Issue Panel"
"keyOpenTransferIssuePanel","Open Transfer Issue Panel"
"optionShowIssuesWithVehiclesOnRoute","Show issues with vehicles on route"
"sliderTransferIssueDeleteResolvedDelay","Delete resolved delay"
"GROUP_STATISTICS_PANEL","Statistics Panel"
"keyOpenStatisticsPanel","Open Statistics Panel"
"StatisticsPanelEnabled","Enable Statistics"
"btnResetPathingStatistics","Reset Pathing Statistics"
"buttonResetTransferStatistics","Reset Transfer Statistics"
"tabBuildingPanelSettings","Settings"
"GROUP_BUILDINGPANEL_SERVICES","Service Options"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Outside Connections"
"dropdownBuildingPanelImportExport","Import/Export"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Goods Delivery Options"
"chkBuildingPanelReserveWarehouseTrucks","Reserve warehouse cargo trucks for local transfers"
"dropBuildingPanelImportExport1","Allow Import and Export"
"dropBuildingPanelImportExport2","Allow Import Only"
"dropBuildingPanelImportExport3","Allow Export Only"
"dropBuildingPanelImportExport4","Neither Allowed"
"tabBuildingPanelStatus","Status"
"listBuildingPanelStatusColumn1","Material"
"listBuildingPanelStatusColumn2","Value"
"listBuildingPanelStatusColumn3","Responder"
"listBuildingPanelStatusColumn4","Vehicle"
"listBuildingPanelStatusColumn5","Timer"
"tabBuildingPanelTransfers","Transfers"
"labelBuildingPanelOffers","Transfer Offers"
"labelBuildingPanelMatchOffers","Match Offers"
"listBuildingPanelOffersColumn1","In/Out"
"listBuildingPanelOffersColumn2","Material"
"listBuildingPanelOffersColumn3","Priority"
"listBuildingPanelOffersColumn4","Active"
"listBuildingPanelOffersColumn5","Amount"
"listBuildingPanelOffersColumn6","Description"
"listBuildingPanelMatchesColumn1","Time"
"listBuildingPanelMatchesColumn2","Material"
"listBuildingPanelMatchesColumn3","Active"
"listBuildingPanelMatchesColumn4","Amount"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Description"
"titleTransferIssuesPanel","Transfer Issues"
"tabTransferIssuesPathing","Pathing"
"listPathingColumn1","Time"
"listPathingColumn2","Source"
"listPathingColumn3","Target"
"tabTransferIssuesDead","Dead"
"listDeadColumn1","Dead"
"listDeadColumn2","Timer"
"listDeadColumn3","Source"
"listDeadColumn4","Target"
"listDeadColumn5","Vehicle"
"tabTransferIssuesSick","Sick"
"listSickColumn1","Sick"
"listBuildingPanelVehicleTarget","Target"
"dropdownBuildingPanelPreferLocalLabel","District Restrictions"
"dropdownBuildingPanelPreferLocal1","All Districts"
"dropdownBuildingPanelPreferLocal2","Prefer Within District"
"dropdownBuildingPanelPreferLocal3","Within District Only"
"tabTransferIssuesOutside","Outside"
"GROUP_BUILDING_PANEL","Building Panel"
"keyOpenBuildingPanel","Open Building Panel"
"DespawnReturningCargoTrucks","Automatically despawn returning cargo trucks"
"GROUP_LOCALISATION","Localization"
"dropdownLocalization","Language"
"GROUP_CALLAGAIN_CARGOSTATION","Cargo Station"
"tabBuildingPanelVehicles","Vehicles"
"txtBuildingPanelTransferManagerWarning","Warning: These settings require the Custom Transfer Manager to be enabled."
"tabTransferIssuesGoods","Goods"
"GROUP_CALLAGAIN_GOODS","Goods Delivery Options"
"CallAgainGoodsThreshold","Goods Threshold"
"CallAgainGoodsRate","Goods Call back Rate"
"chkShowIssuesWithVehicles","Show issues with vehicles on route"
"GROUP_BUILDINGPANEL_DISTRICT","District Restrictions"
"dropdownBuildingPanelIncomingPreferLocalLabel","Incoming"
"dropdownBuildingPanelOutgoingPreferLocalLabel","Outgoing"
"chkAllowImport","Allow Import"
"chkAllowExport","Allow Export"
"GROUP_BUILDINGPANEL_APPLYTOALL","Apply To All Buildings of Same Type"
"txtExperimentalOutside","This option will skip over outside connections when performing a match. They can still be selected to match against an offer if selected as the best match but will no longer be used as the originator of a match."
"optionExperimentalOutside","Reduce outside connection traffic"
"GROUP_EXPERIMENTAL_CONNECTIONS","Outside Connections"
