"Context","Source/Translation"
"labelBuildingPanelMatchOffers","匹配供给"
"listBuildingPanelOffersColumn1","进/出口"
"listBuildingPanelOffersColumn2","材料"
"listBuildingPanelOffersColumn3","优先权"
"listBuildingPanelOffersColumn4","激活"
"listBuildingPanelOffersColumn5","数量"
"listBuildingPanelOffersColumn6","描述"
"listBuildingPanelMatchesColumn1","时间"
"listBuildingPanelMatchesColumn2","材料"
"listBuildingPanelMatchesColumn3","激活"
"listBuildingPanelMatchesColumn4","数量"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","描述"
"titleTransferIssuesPanel","传输问题"
"tabTransferIssuesPathing","寻路"
"listPathingColumn1","时间"
"listPathingColumn2","来源"
"listPathingColumn3","目标"
"tabTransferIssuesDead","死亡"
"listDeadColumn1","死亡"
"listDeadColumn2","定时器"
"listDeadColumn3","来源"
"listDeadColumn4","目标"
"listDeadColumn5","车辆"
"tabTransferIssuesSick","生病"
"listSickColumn1","生病"
"listBuildingPanelVehicleTarget","目标"
"dropdownBuildingPanelPreferLocalLabel","区域限制"
"dropdownBuildingPanelPreferLocal1","向所有区域提供服务"
"dropdownBuildingPanelPreferLocal2","优先区域"
"dropdownBuildingPanelPreferLocal3","仅限本区域"
"tabTransferIssuesOutside","外层"
"GROUP_BUILDING_PANEL","建筑物面板"
"keyOpenBuildingPanel","打开建筑物面板"
"DespawnReturningCargoTrucks","货运站自动消除返程的卡车"
"GROUP_LOCALISATION","本地风格"
"dropdownLocalization","语言"
"GROUP_CALLAGAIN_CARGOSTATION","货运站"
"tabBuildingPanelVehicles","车辆"
"txtBuildingPanelTransferManagerWarning","警告：设置前需要开启 Custom Transfer Manager"
"tabTransferIssuesGoods","满意"
"GROUP_CALLAGAIN_GOODS","货物交付选项"
"CallAgainGoodsThreshold","货物阈值"
"CallAgainGoodsRate","货物回拨率"
"chkShowIssuesWithVehicles","显示路线上车辆的问题"
"GROUP_BUILDINGPANEL_DISTRICT","区域限制"
"dropdownBuildingPanelIncomingPreferLocalLabel","进口"
"dropdownBuildingPanelOutgoingPreferLocalLabel","出口"
"chkAllowImport","允许进口"
"chkAllowExport","允许出口"
"GROUP_BUILDINGPANEL_APPLYTOALL","应用于全部同类建筑"
"txtExperimentalOutside","此选项将在执行匹配时跳过外部连接。如果选择最佳匹配项，仍可以选择它们与产品/服务进行匹配，但不再将其用作匹配的发起方。"
"optionExperimentalOutside","减少外部连接流量"
"GROUP_EXPERIMENTAL_CONNECTIONS","外部连接"
