"Context","Source/Translation"
"keyOpenStatisticsPanel","Öffne Statistik-Fenster"
"StatisticsPanelEnabled","Statistiken aktivieren"
"btnResetPathingStatistics","Reset Pathing"
"buttonResetTransferStatistics","Transfer-Statistik zurücksetzen"
"tabBuildingPanelSettings","Einstellungen"
"GROUP_BUILDINGPANEL_SERVICES","Serviceoptionen"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Ausgehende Verbindungen"
"dropdownBuildingPanelImportExport","Import/Export"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Lieferoptionen"
"chkBuildingPanelReserveWarehouseTrucks","Frachtlaster für innerstädtische Anfragen reservieren"
"tabBuildingPanelStatus","Status"
"listBuildingPanelStatusColumn1","Material"
"listBuildingPanelStatusColumn2","Wert"
"listBuildingPanelStatusColumn3","Versorger"
"listBuildingPanelStatusColumn4","Fahrzeug"
"listBuildingPanelStatusColumn5","Timer"
"tabBuildingPanelTransfers","Transfers"
"labelBuildingPanelOffers","Offene Anfragen"
"labelBuildingPanelMatchOffers","Zugewiesene Anfragen"
"listBuildingPanelOffersColumn1","Ein/Aus"
"listBuildingPanelOffersColumn2","Material"
"listBuildingPanelOffersColumn3","Priorität"
"listBuildingPanelOffersColumn4","Aktiv"
"listBuildingPanelOffersColumn5","Anzahl"
"listBuildingPanelOffersColumn6","Beschreibung"
"listBuildingPanelMatchesColumn1","Zeit"
"listBuildingPanelMatchesColumn2","Material"
"listBuildingPanelMatchesColumn3","Aktiv"
"listBuildingPanelMatchesColumn4","Anzahl"
"listBuildingPanelMatchesColumn5","D"
"listBuildingPanelMatchesColumn6","Beschreibung"
"titleTransferIssuesPanel","Probleme"
"tabTransferIssuesPathing","Wegfindung"
"listPathingColumn1","Zeit"
"listPathingColumn2","Quelle"
"listPathingColumn3","Ziel"
"tabTransferIssuesDead","Tote"
"listDeadColumn1","Tote"
"listDeadColumn2","Timer"
"listDeadColumn3","Quelle"
"listDeadColumn4","Ziel"
"listDeadColumn5","Fahrzeug"
"tabTransferIssuesSick","Kranke"
"listSickColumn1","Kranke"
"listBuildingPanelVehicleTarget","Ziel"
"dropdownBuildingPanelPreferLocalLabel","Stadtviertel Einschränkungen"
"dropdownBuildingPanelPreferLocal1","Alle Stadtviertel"
"dropdownBuildingPanelPreferLocal2","Eigenes Stadtviertel bevorzugen"
"dropdownBuildingPanelPreferLocal3","Nur eigenes Stadtviertel"
"dropdownBuildingPanelPreferLocal4","Alle Stadtviertel, außer für"
"tabTransferIssuesOutside","Ausgehend"
"GROUP_BUILDING_PANEL","Gebäudeübersicht"
"keyOpenBuildingPanel","Öffne Gebäudeübersicht"
"GROUP_LOCALISATION","Regionale Einstellungen"
"dropdownLocalization","Sprache"
"tabBuildingPanelVehicles","Fahrzeuge"
"txtBuildingPanelTransferManagerWarning","Achtung: Diese Einstellungen erfordern die Aktivierung des benutzerspezifischen Transfer Managers."
"tabTransferIssuesGoods","Güter"
"chkShowIssuesWithVehicles","Zeige Probleme mit Fahrzeugen, die unterwegs sind"
"GROUP_BUILDINGPANEL_DISTRICT","Stadtviertel Einschränkungen"
"dropdownBuildingPanelOutgoingPreferLocalLabel","Ausgehend"
"dropdownBuildingPanelIncomingPreferLocalLabel","Eingehend"
"chkAllowImport","Import erlauben"
"chkAllowExport","Export erlauben"
"GROUP_BUILDINGPANEL_APPLYTOALL","Auf alle Gebäude dieses Typs anwenden"
"tabExperimental","Experimentell"
"chkDistrictAllowServices","Dienstleistungen erlauben (Müll, Feuer, Polizei...)"
"GROUP_DISTANCE_LIMITS","Maximale Entfernungen"
"tabDistanceRestrictions","Entfernung"
"sliderDeathcareDistanceLimits","Bestattungswesen (km)"
"sliderHealthcareDistanceLimits","Gesundheitswesen (km)"
"sliderGarbageDistanceLimits","Müll (km)"
"sliderPoliceDistanceLimits","Polizei (km)"
"sliderFireDistanceLimits","Feuerwehr (km)"
"sliderMailDistanceLimits","Post (km)"
"txtDistanceLimits","Maximale erlaubte Entfernung, 0 = unbegrenzt. Importe/Exporte sind nicht betroffen."
"tabVehicleAI","Fahrzeug KI"
"GROUP_VEHICLE_AI","Aktiviere/Deaktiviere Fahrzeug-KI"
"optionFireTruckAI","Löschfahrzeug"
"optionFireCopterAI","Löschhubschrauber"
"optionGarbageTruckAI","Müllwagen"
"optionPoliceCarAI","Polizeiwagen"
"optionPoliceCopterAI","Polizeihubschrauber"
"txtVehicleAIDescription","Die Fahrzeug-KI ermöglicht es Fahrzeugen Probleme in der Umgebung zu finden."
"tabImportExport","Import/Export"
"GROUP_IMPORT_RESTRICTIONS","Import erlauben"
"txtImportRestrictions","Bitte stellen Sie sicher, dass Sie über eine ausreichende interne Produktion verfügen, bevor Sie diese Ressourcen deaktivieren."
"sliderWarehouseReservePercent","Frachtlaster für lokale Transfers reservieren (%)"
"sliderWarehouseFirstPercent","Frachtlaster für lokale Transfers reservieren (%)"
"GROUP_DUMMY_TRAFFIC","Dummy-Verkehr"
"optionDummyTraffic","Deaktiviere Dummy-Verkehr"
"txtDummyTraffic","Das Spiel fügt Dummy-Verkehr hinzu, um die Stadt lebendiger zu machen. Diese Option verhindert Dummy-Transfers, um den Verkehr innerhalb der Stadt zu reduzieren."
"optionWarehouseOverride","Globale Einstellungen überschreiben"
"listConnectionName","Name"
"listConnectionType","Typ"
"listConnectionGuest","Anzahl"
"listConnectionOwn","Anzahl"
"listConnectionMultiplier","Faktor"
"listConnectionImport","Import"
"listConnectionExport","Export"
"titleOutsideConnectionPanel","Ausgehende Verbindungen"
"GROUP_BUILDINGPANEL_OUTSIDE_DISTANCE_MULTIPLIER","Faktoren für ausgehende Verbindungen"
"sliderOutsideDistanceMultiplier","Faktor"
"sliderOutsideDistanceMultiplierTooltip","0 = Globale Einstellung\r\n1 = Keine Änderung der Entfernung\r\n10 = 10x weiter entfernt"
"OutsideMultiplierDescription1","Diese Faktoren werden angewendet, um die berechnete Entfernung weiter entfernt wirken zu lassen. Hierdurch ist es unwahrscheinlicher, dass eine Zuweisung erfolgt."
"OutsideMultiplierDescription2","1 = Keine Änderung der Entfernung"
"OutsideMultiplierDescription3","10 = 10x weiter entfernt"
"sliderShipMultiplier","Schiffe"
"sliderPlaneMultiplier","Flugzeuge"
"sliderTrainMultiplier","Züge"
"sliderRoadMultiplier","Straßen"
"GROUP_OUTSIDE_CONNECTIONS_PANEL","Ausgehende Verbindungen"
"keyOpenOutsidePanel","Öffne Übersicht über ausgehende Verbindungen"
"optionNewWarehouseTransfer","Verbesserter Transfer zwischen Lagerhäusern"
"txtNewInterWarehouseMatching","Diese Option ermöglicht Transfers zwischen Lagerhäusern mit niedriger Priorität, überprüft aber den Füllstand, um sicherzustellen, dass Lagerhäuser nicht zwecklos Waren hin und her senden."
"txtDetectedDistricts","Erkannte Stadtviertel"
"btnDistricts","Stadtviertel"
"btnDistrict","Stadtviertel"
"btnPark","Park/Industrie"
"btnMap","Karte"
"txtNone","---"
"txtVehiclesNone","Keines"
"txtStatusNone","Keiner"
"GROUP_BUILDINGPANEL_DISTANCE_RESTRICTIONS","Entfernungsbeschränkungen"
"sliderDistanceRestriction","Maximale Entfernung (km)"
"sliderDistanceRestrictionTooltip","0 = Globale Einstellung verwenden, falls vorhanden oder keine Einschränkung.\r\n1+ = Maximale Übereinstimmungsentfernung"
"titleDistrictPanel","Stadtviertel auswählen"
"txtAllowedDistricts","Zugelassene Stadtviertel"
"txtBlockedDistricts","Blockierte Stadtviertel"
"txtCurrentDistrict","Aktuelles Stadtviertel"
"txtCurrentPark","Aktueller Park"
"txtLoad","Menge"
"GROUP_IMPROVED_SERVICES_MATCHING","Verbesserte Dienstleistungen"
"tabMatches","Treffer"
"titleTransferStatsPanel","Transfer-Manager-Statistiken"
"sliderOutsideCargoCapacity","Cargo Capacity"
"sliderOutsideResidentCapacity","Resident Capacity"
"sliderOutsideTouristFactor0","Touristenfaktor 0"
"sliderOutsideTouristFactor1","Touristenfaktor 1"
"sliderOutsideTouristFactor2","Touristenfaktor 2"
"sliderOutsideDummyTrafficFactor","Dummy Traffic Factor"
"btnOutsideReset","Zurücksetzen"
"GROUP_OUTSIDE_SETTINGS","Outside Connection Parameters"
"GROUP_BALANCED_MATCH_MODE","Balanced Match Mode"
"dropdownBalancedTitle","Match First When Equal"
"dropdownBalancedModeIncomingFirst","Match Incoming First (Vanilla)"
"dropdownBalancedModeLeastFirst","Match Least Offers First"
"dropdownBalancedModePassiveFirst","Passive zuerst"
"txtBalancedMatch","Welche Anfrage soll zuerst bedient werden, wenn ein- und ausgehende Anfragen die gleiche Priorität haben."
"GROUP_PATH_DISTANCE","Match Distance Algorithm"
"optionPathDistance","Use Path Distance (Where available)"
"txtPathDistance","Use path distance instead of line of sight distance (where available). This will result in better matches where your network or geography is complex but is slower so please ensure your computer is fast enough for this option.\r\nCurrently restricted to main services."
"optionHighlightMatches","Highlight Matches"
"listBuildingPanelOffersPark","Park"

